codgeo;population_totale;pop_60ansetplus
07144;38;17
88454;237;72
02633;61;9
80542;562;163
03018;703;134
07146;599;188
88457;141;36
02636;201;70
80543;121;14
03019;1662;548
07150;581;208
88467;606;184
02650;359;96
80550;151;35
03024;247;88
07151;264;74
88468;3267;1036
02654;85;36
80552;1200;364
03028;387;80
07161;795;270
88473;104;45
02659;513;148
80569;300;57
03030;832;213
07172;2077;534
88482;57;11
02662;308;76
80572;372;100
03036;2281;787
07184;474;135
88490;173;44
02664;113;22
80582;991;220
03037;267;79
07185;679;163
88491;120;18
02670;160;54
80593;266;83
03041;327;119
07188;1579;443
88493;30;9
02671;297;71
80597;852;204
03043;1157;345
07189;298;117
88494;123;38
02674;52;12
80605;221;63
03044;1473;440
07229;978;274
88498;874;288
02675;126;27
80611;913;195
03048;1213;504
07230;399;105
88500;841;259
02683;121;29
80615;448;107
03055;1002;286
07232;354;145
88503;161;63
02685;120;27
80624;278;69
03061;396;90
07238;316;107
88504;187;57
02688;53;11
80628;749;141
03065;547;170
07241;699;150
88505;127;31
02690;83;37
80647;300;46
03079;301;95
07244;273;85
88509;108;24
02691;53076;13732
80652;798;121
03083;597;178
07250;480;123
88520;315;77
02696;82;15
80669;360;87
03086;349;96
07251;183;46
88525;137;39
02698;100;23
80671;257;48
03089;153;54
07253;188;83
88530;2525;748
02701;732;170
80672;665;155
03091;463;93
07257;107;41
89002;78;19
02704;251;54
80673;177;50
03092;630;185
07270;430;118
89012;87;47
02705;221;56
80676;152;51
03093;1157;272
07273;219;78
89017;210;83
02708;206;45
80680;2976;870
03095;12267;3900
07278;359;93
89018;765;233
02715;50;14
80683;109;29
03096;81;38
07280;983;388
89023;1031;259
02716;288;79
80692;1039;242
03098;4294;1525
07282;286;125
89032;83;31
02718;129;42
80702;1101;338
03101;8642;3409
07286;466;159
89053;466;99
02721;475;118
80705;93;31
03102;2989;1102
07287;294;79
89054;792;221
02722;27795;7292
80708;171;39
03103;973;412
07288;1198;305
89058;127;43
02734;270;79
80719;59;18
03110;1003;240
07289;1650;500
89059;717;246
02735;16;8
80726;264;80
03113;558;234
07300;445;116
89073;1027;414
02738;13457;3357
80732;657;177
03116;196;66
07307;448;149
89075;720;201
02742;100;35
80735;169;40
03127;533;209
07312;551;102
89081;89;26
02749;228;38
80742;65;23
03128;2664;794
07321;234;60
89091;585;230
02752;276;63
80747;141;47
03132;579;231
07345;941;226
89094;745;176
02761;189;18
80755;143;28
03149;440;122
08008;724;142
89095;153;34
02772;149;33
80758;189;30
03157;982;206
08014;134;20
89098;185;59
02780;1376;305
80764;303;87
03166;299;113
08026;307;69
89100;1571;474
02784;155;29
80773;97;24
03168;889;309
08027;102;24
89113;658;130
02786;127;36
80775;636;200
03170;141;48
08028;874;220
89120;135;58
02789;2424;594
80777;157;55
03174;888;218
08036;119;64
89123;260;69
02790;227;48
80780;395;143
03180;691;116
08047;97;34
89125;871;224
02794;183;40
80787;93;24
03188;211;68
08052;98;37
89129;394;150
02796;89;19
80793;2361;572
03193;179;42
08053;2312;600
89130;1258;369
02802;208;44
80796;193;54
03194;115;41
08059;33;9
89144;831;215
02803;140;34
80797;121;24
03215;568;159
08064;300;80
89146;89;20
02804;188;54
80800;152;30
03225;440;142
08074;52;23
89149;208;56
02807;596;165
80802;611;155
03231;191;66
08078;866;176
89163;519;205
02814;173;53
80806;476;109
03248;174;70
08090;2814;819
89171;339;76
02828;91;35
80807;270;69
03254;4800;1635
08098;62;30
89172;505;134
03011;416;82
80808;487;135
03263;194;57
08100;72;18
89177;74;27
03015;318;53
80820;708;162
03272;295;90
08101;184;59
89182;165;53
03033;192;32
80829;93;14
03276;102;44
08107;1305;325
89183;65;27
03038;504;136
80833;128;44
03278;205;74
08121;147;27
89184;132;48
03047;414;144
81004;46886;14352
03279;560;120
08123;76;17
89188;174;57
03060;912;268
81013;398;124
03282;365;135
08124;350;76
89190;169;44
03066;359;172
81017;166;62
03287;394;124
08125;361;90
89194;122;48
03070;135;33
81019;144;49
03290;1615;440
08132;189;31
89195;1212;276
03077;128;35
81027;164;45
03297;1508;550
08134;89;42
89197;721;246
03078;220;107
81029;187;45
03305;603;141
08135;147;47
89198;1689;485
03082;6128;2273
81035;179;71
03307;250;91
08139;1041;288
89202;288;83
03088;330;95
81036;1261;438
03309;439;177
08142;2065;567
89206;9341;2500
03105;325;131
81046;1447;355
03311;320;104
08144;97;16
89210;155;54
03106;1306;333
81049;202;49
03320;775;261
08146;103;23
89215;181;73
03115;337;104
81056;152;41
04009;15;8
08148;267;26
89216;287;93
03118;5547;1689
81063;1477;462
04017;98;31
08150;179;48
89217;135;32
03124;220;57
81070;2792;620
04018;924;361
08161;41;8
89224;162;40
03133;511;155
81077;395;176
04020;136;41
08168;170;56
89225;55;18
03137;276;67
81088;527;104
04030;61;26
08172;184;37
89238;478;184
03142;260;91
81093;632;184
04036;957;253
08174;2374;768
89240;353;114
03156;1698;465
81100;396;102
04037;68;30
08185;3360;1070
89245;814;196
03159;797;195
81101;1258;403
04043;88;30
08188;1069;309
89255;1027;299
03164;270;89
81105;12306;3983
04051;67;32
08190;6680;1543
89266;276;119
03169;315;93
81110;96;45
04055;184;63
08197;41;24
89267;182;63
03177;266;101
81115;1350;629
04061;463;220
08209;466;94
89273;288;115
03181;313;140
81119;492;116
04069;135;43
08214;476;122
89278;546;105
03183;369;136
81122;75;31
04072;118;23
08226;208;57
89281;337;91
03191;295;87
81130;1809;604
04074;106;40
08230;366;64
89282;689;210
03196;220;111
81135;106;46
04101;119;49
08232;411;101
89284;190;70
03197;1458;393
81149;405;97
04102;198;60
08239;1219;245
89286;808;194
03200;1505;559
81151;126;42
04109;326;136
08242;460;155
89299;61;6
03202;653;279
81156;3124;965
04112;21276;6479
08243;172;60
89302;218;73
03205;447;119
81169;96;27
04116;3644;1048
08259;79;26
89307;735;226
03212;1466;370
81170;1271;460
04118;115;47
08279;54;18
89315;148;28
03216;175;53
81171;1375;317
04120;118;40
08280;73;17
89320;58;27
03233;404;88
81174;573;138
04122;511;123
08284;915;206
89336;294;98
03236;3583;1056
81175;419;102
04123;1117;313
08287;131;25
89341;446;90
03238;504;161
81177;484;105
04124;421;157
08297;266;37
89347;360;123
03249;165;80
81181;191;66
04136;330;127
08302;2244;635
89365;533;205
03251;384;148
81183;192;84
04142;50;18
08307;83;36
89369;553;107
03256;222;59
81184;31;11
04145;1388;418
08312;179;30
89373;667;209
03258;1684;450
81186;280;110
04155;184;82
08324;120;24
89376;161;47
03266;271;64
81190;491;92
04161;337;96
08330;701;132
89380;359;111
03267;707;189
81192;789;283
04162;270;87
08332;44;15
89384;711;215
03268;389;110
81205;186;56
04170;67;29
08336;228;65
89392;259;80
03270;150;30
81208;573;98
04173;963;359
08341;776;153
89399;1578;475
03289;536;179
81234;77;23
04177;40;17
08346;1353;475
89400;321;157
03295;77;26
81235;736;130
04186;97;39
08356;171;28
89403;101;39
03298;3519;1268
81240;97;43
04188;847;205
08360;208;72
89413;31;21
03302;37;15
81245;127;59
04189;571;190
08366;689;242
89418;4359;1240
03319;478;138
81247;208;67
04200;633;147
08386;315;48
89432;479;148
04005;149;76
81262;208;102
04203;447;155
08387;178;40
89434;365;73
04007;66;28
81271;8675;1651
04204;167;72
08390;81;22
89436;925;241
04008;1046;353
81272;209;68
04207;104;31
08395;124;41
89438;1704;457
04012;98;25
81273;3385;1064
04208;594;236
08404;202;36
89440;433;128
04021;138;32
81276;1072;299
04211;179;44
08406;373;100
89450;630;147
04022;439;149
81277;585;133
04235;61;37
08408;537;119
89453;1055;279
04027;233;42
81279;270;77
04237;130;45
08412;163;61
89477;105;27
04028;128;48
81280;255;108
05001;382;113
08413;272;60
89478;944;293
04034;1142;221
81281;2019;545
05010;817;306
08415;360;95
89482;134;37
04039;1463;426
81290;171;68
05012;592;170
08417;272;45
89486;162;43
04068;824;256
81291;464;101
05016;244;90
08420;1203;319
90001;1211;377
04070;15696;5042
81295;443;173
05024;204;104
08425;38;16
90020;287;86
04077;165;57
81299;373;118
05027;182;31
08427;191;50
90027;127;42
04079;1399;434
81312;902;220
05029;828;233
08428;151;37
90031;348;74
04090;195;72
81313;221;67
05031;185;71
08429;547;146
90043;576;105
04121;658;175
81315;1486;384
05033;40;21
08439;157;46
90051;454;108
04129;57;21
81316;222;73
05035;28;9
08450;232;45
90055;326;70
04137;41;17
81318;152;52
05040;2866;849
08451;409;87
90057;730;192
04138;273;69
81325;1918;498
05047;132;22
08465;50;22
90058;588;102
04139;516;140
82011;931;177
05053;549;216
08471;27;3
90059;234;59
04148;234;86
82012;563;128
05054;361;95
08480;3476;944
90068;1304;276
04152;3743;1220
82014;270;59
05062;170;82
08489;218;83
90071;1180;268
04154;84;35
82021;188;70
05066;9;8
08491;3630;976
90076;1164;270
04156;232;77
82024;252;97
05068;435;108
08502;107;26
90082;282;58
04174;152;53
82030;467;133
05072;230;76
09003;424;175
90084;338;71
04181;59;31
82040;275;78
05073;368;84
09016;202;45
90085;103;18
04183;146;45
82041;221;86
05075;426;122
09019;565;167
90087;1032;245
04191;13;7
82045;353;91
05076;81;32
09030;473;184
90105;170;25
04202;124;54
82047;53;24
05080;64;25
09034;24;8
91021;9831;2035
04209;7244;2347
82051;859;274
05096;693;192
09039;336;81
91069;392;114
04217;640;168
82052;1042;236
05098;575;153
09040;284;43
91079;548;139
04220;395;82
82054;395;89
05099;107;41
09066;638;186
91095;2154;444
04224;88;45
82057;602;91
05109;534;159
09069;29;14
91099;2926;810
04228;42;22
82063;682;168
05123;1504;356
09072;31;5
91103;25647;4052
04230;3120;933
82070;75;9
05128;646;214
09089;55;16
91129;3194;752
05007;372;110
82072;978;168
05132;2010;577
09107;561;186
91148;137;24
05008;349;115
82081;178;37
05133;1566;442
09110;89;43
91180;344;97
05011;401;83
82103;114;38
05140;280;79
09114;116;43
91186;582;124
05026;293;104
82107;49;11
05145;950;306
09120;276;96
91226;6430;1804
05044;135;41
82119;660;187
05149;286;77
09124;1014;306
91273;762;142
05052;776;208
82123;1284;254
05157;236;75
09130;705;231
91315;6628;1249
05060;153;63
82126;1362;423
05159;91;23
09132;241;57
91330;5406;1067
05064;102;58
82127;766;269
05164;993;305
09133;21;15
91363;7860;1571
05065;2232;659
82129;137;36
05177;527;132
09137;181;29
91390;3328;856
05070;3289;1210
82134;5282;1376
05181;322;82
09138;202;49
91412;712;176
05077;303;132
82137;590;219
05183;1399;418
09142;114;42
91468;2018;273
05115;441;115
82167;1732;467
05184;205;57
09143;25;20
91507;294;86
05124;469;115
82169;2239;676
06005;142;58
09146;50;10
91519;394;116
05127;179;62
82173;1121;219
06008;32;9
09148;155;52
91521;28405;5256
05130;141;52
82177;175;65
06009;104;44
09152;29;20
91526;102;21
05135;56;32
82184;855;212
06016;499;165
09154;54;18
91553;7413;1699
05146;123;52
82188;570;127
06017;242;49
09156;21;10
91578;300;89
05147;358;108
82189;705;248
06022;516;104
09157;2415;939
91600;6879;1951
05152;125;74
83010;206;65
06023;2061;707
09160;6017;2236
91645;15022;4079
05160;88;42
83011;1329;415
06031;1322;457
09162;25;14
91659;5307;939
05168;620;176
83030;1876;518
06032;4414;1106
09173;268;72
91661;10323;2246
05170;1956;446
83035;3872;1277
06037;274;56
09174;329;84
91666;2315;325
05179;3055;1071
83043;1787;592
06044;7740;2222
09180;129;48
91687;30297;6120
05180;535;152
83051;1117;387
06054;4323;938
09184;36;15
92004;84877;13847
05182;40;14
83055;5719;1833
06056;128;46
09185;3708;858
92019;31339;6319
06007;3168;730
83056;2502;739
06058;612;162
09186;106;23
92049;48347;9232
06014;875;204
83057;3447;814
06059;2250;609
09187;362;108
92050;89731;13431
06020;577;159
83059;2871;744
06071;603;214
09198;189;55
92073;47930;7620
06027;48907;16162
83068;4269;1304
06080;104;34
09202;306;62
92078;23930;4155
06036;373;73
83072;8794;3346
06090;7624;1728
09204;247;82
93006;35047;5843
06038;3186;908
83075;641;219
06096;101;48
09206;502;208
93027;41867;5587
06039;922;215
83076;899;199
06102;90;32
09210;409;108
93030;10659;1515
06041;391;94
83092;3860;915
06112;4010;972
09222;24;3
93046;43821;8135
06045;87;40
83093;2099;456
06116;227;100
09226;39;17
93053;42724;6701
06052;168;66
83098;9803;3893
06126;2940;662
09230;56;41
93059;28824;4300
06061;106;31
83099;7639;1968
06131;47;22
09239;135;73
93062;14407;3272
06077;1285;380
83103;3654;975
06146;164;24
09244;679;156
93074;6673;1133
06078;308;69
83105;44;6
06154;437;159
09245;1270;285
94016;28359;5333
06079;21947;7742
83110;1647;366
06161;14531;3714
09257;580;196
94018;30408;5884
06081;157;67
83122;255;88
07004;74;23
09262;388;180
94037;17283;3081
06084;9352;2957
83124;2511;849
07007;975;252
09268;1272;563
94038;30636;6752
06089;2206;633
83130;10898;3080
07014;330;128
09269;349;103
94048;4823;1146
06093;229;89
83133;1615;444
07022;1090;208
09275;375;81
94054;23317;3702
06094;798;271
83135;1377;477
07035;645;201
09285;662;255
94069;13635;2463
06095;8119;2568
83141;5761;1667
07048;298;118
09289;1430;435
94079;28506;5484
06099;1739;398
83142;182;51
07063;404;67
09290;152;62
95002;1149;221
06100;179;43
84004;5519;1371
07066;2952;837
09291;109;37
95011;375;82
06103;1681;569
84012;2355;679
07067;278;52
09300;183;67
95012;213;35
06108;5347;1422
84013;250;66
07072;1632;513
09324;3363;983
95054;238;34
06109;923;240
84020;1369;480
07078;3047;1088
09328;224;101
95061;421;105
06115;95;51
84023;70;35
07090;1218;341
09329;645;210
95074;752;153
06119;122;50
84024;951;235
07093;284;121
09332;2224;642
95078;1791;364
06122;3986;1080
84025;1788;562
07098;91;29
09340;163;53
95094;308;65
06123;28408;8634
84026;4086;1127
07102;10901;3735
10005;284;77
95141;33;4
06124;57;32
84029;4556;995
07105;104;35
10017;129;40
95144;72;10
06128;3361;1158
84036;3181;932
07109;305;132
10020;509;134
95166;456;65
06129;319;109
84038;4158;1104
07120;68;36
10021;156;37
95170;566;139
06142;285;62
84046;455;123
07121;203;76
10027;62;22
95176;23300;4213
06143;624;151
84048;67;25
07123;175;55
10029;154;34
95177;1350;242
06149;9978;2643
84053;1758;619
07128;342;161
10030;1389;250
95181;274;55
06155;26237;8495
84065;3704;1133
07131;389;119
10044;32;10
95213;623;170
06160;74;38
84067;2587;643
07139;110;47
10045;201;51
95250;9622;1749
06162;589;223
84071;1914;534
07140;795;167
10047;39;6
95258;363;84
07001;380;96
84082;1883;530
07155;1210;414
10048;163;46
95308;619;119
07002;558;151
84085;419;136
07158;92;38
10050;207;62
95313;12270;3299
07011;889;329
84091;5111;1289
07173;50;31
10061;695;166
95331;170;28
07013;1249;229
84093;741;250
07177;851;138
10062;209;56
95352;4433;952
07018;41;28
84117;331;84
07178;571;179
10068;134;40
95365;693;112
07032;179;36
84118;2681;945
07179;130;47
10074;508;151
95371;5627;1103
07038;49;23
84121;230;46
07186;7771;2280
10078;27;8
95388;5391;946
07050;733;260
84123;1318;436
07195;56;26
10081;12642;2783
95394;9643;1508
07053;499;174
84125;70;30
07196;239;71
10091;147;36
95395;930;140
07062;134;42
84126;851;279
07198;1069;269
10092;119;31
95424;20312;3188
07068;570;202
84132;8857;1992
07199;1182;406
10093;100;24
95446;1815;485
07084;1007;236
84134;728;158
07201;2016;884
10114;725;237
95450;1942;351
07088;105;47
84135;1569;475
07203;120;48
10127;65;24
95459;717;129
07089;1612;312
84137;5848;2176
07207;1094;392
10133;253;91
95476;15439;3233
07094;170;49
84139;624;172
07210;531;177
10139;179;44
95493;141;49
07096;371;166
85010;1351;485
07213;154;40
10141;726;221
95529;876;218
07099;625;194
85020;3909;1117
07214;197;68
10146;86;22
95535;1111;297
07101;884;333
85024;1991;504
07216;501;155
10148;370;112
95539;14661;2489
07103;343;132
85026;1379;279
07235;214;78
10149;330;81
95566;2557;455
07107;1168;451
85031;3058;754
07254;875;243
10168;75;19
95572;23449;3592
07108;131;37
85038;2660;458
07258;205;82
10169;243;74
95598;17914;4012
07110;1576;518
85039;3830;772
07263;100;46
10172;171;57
95637;16257;2124
07127;1051;363
85042;1806;515
07267;243;88
10174;184;62
95658;1080;226
07129;2223;877
85051;8137;2171
07275;117;53
10175;178;60
95690;335;94
07156;950;316
85055;945;202
07277;159;33
10183;34;14
97109;7640;1908
07159;624;119
85064;2411;521
07285;107;48
10184;127;36
97113;26521;6365
07160;61;22
85070;3034;901
07295;1030;360
10186;520;146
97124;10185;2820
07163;84;29
85071;3374;951
07296;1570;411
10189;64;13
97126;2451;811
07170;251;84
85072;988;158
07305;363;147
10192;126;40
97205;4448;1099
07175;74;31
85074;216;60
07309;1502;511
10193;308;109
97212;9861;2928
07190;210;71
85078;748;293
07315;368;147
10197;200;47
97213;39439;8636
07193;177;62
85082;2817;614
07318;188;62
10199;357;83
97217;8207;2132
07200;49;17
85094;1114;394
07324;9857;2685
10218;161;50
97222;23143;5058
07202;160;55
85096;4867;1164
07325;1974;623
10222;452;116
97223;9343;2213
07204;2291;730
85101;486;133
07332;482;128
10231;607;123
97227;9947;2150
07211;466;195
85113;4659;1561
07334;2601;1009
10235;44;11
97229;19042;5087
07212;213;69
85116;440;174
07336;236;99
10242;180;53
97307;32417;3205
07217;816;202
85117;619;186
07338;1851;556
10243;107;24
97313;2529;299
07221;254;68
85119;2276;538
07346;3546;928
10249;404;95
97314;182;16
07222;200;64
85136;110;38
07348;1078;277
10250;240;51
97356;1786;62
07223;139;52
85137;510;166
08001;392;127
10254;335;94
97358;147;8
07224;211;76
85143;1049;331
08005;146;27
10260;636;142
97362;8032;204
07228;894;198
85145;979;189
08019;61;14
10265;3140;963
97402;12679;1758
07237;769;199
85156;2060;605
08023;63;19
10270;250;71
97404;14228;2315
07243;319;64
85159;2260;621
08033;90;31
10276;340;89
97405;12236;2564
07247;739;139
85169;1084;221
08034;344;107
10279;66;24
97407;34113;5274
07249;104;40
85177;1375;371
08040;902;202
10281;294;76
97409;55265;6995
07255;1507;304
85193;622;150
08049;126;34
10287;1459;335
97411;145601;24800
07262;165;75
85194;42066;19367
08061;42;11
10289;979;309
97413;33662;5224
07268;951;266
85201;462;206
08063;138;39
10294;65;15
97415;104718;16415
07269;1049;437
85204;2457;537
08066;68;14
10304;188;72
97419;6520;1150
07272;287;97
85205;537;157
08067;1224;338
10309;96;41
97423;7101;1081
07279;1900;470
85207;384;181
08096;649;129
10314;344;85
97609;;
07281;7460;2040
85211;2351;444
08099;121;16
10320;231;83
97610;;
07284;146;61
85213;3997;1000
08104;50;12
10321;3183;987
97612;;
07291;875;269
85221;2621;789
08109;150;66
10325;3872;748
07292;1186;262
85231;817;338
08110;160;52
10331;527;144
07293;856;189
85232;1050;161
08113;479;124
10335;235;64
07294;530;184
85234;8261;3443
08120;46;20
10340;2318;547
07297;507;112
85242;965;190
08130;81;23
10344;869;219
07298;759;171
85250;2245;554
08133;507;115
10346;60;17
07301;948;313
85262;3320;566
08137;433;128
10349;2894;768
07306;226;91
85277;1481;364
08145;2151;434
10351;366;110
07313;1046;280
85278;1303;713
08149;134;34
10354;139;31
07314;366;118
85280;3070;949
08153;357;74
10356;281;66
07317;1051;226
85281;976;279
08158;254;75
10359;525;126
07319;8394;2191
85292;699;212
08159;116;36
10373;413;124
07327;416;150
85296;1263;285
08166;265;62
10376;154;39
07328;541;183
85303;1730;505
08169;120;38
10383;174;44
07333;934;263
86019;3074;663
08170;203;43
10386;232;58
07335;203;63
86022;263;97
08171;98;21
10392;376;126
07341;2536;669
86025;424;167
08173;1708;380
10395;308;93
07342;1164;329
86026;552;148
08178;186;69
10396;504;144
07347;607;179
86034;575;202
08193;267;65
10398;74;18
08003;1653;520
86037;437;206
08201;99;22
10406;1879;592
08004;218;47
86039;725;232
08203;313;65
10408;121;29
08006;245;49
86041;9924;2712
08207;241;67
10414;120;36
08015;102;33
86045;1353;274
08215;38;16
10417;202;58
08030;61;20
86051;203;74
08217;91;23
10418;207;49
08031;51;18
86052;1017;263
08245;34;17
10427;215;78
08032;214;35
86053;1916;373
08247;133;39
10428;106;47
08039;463;97
86061;1138;502
08248;680;133
10430;87;23
08043;1613;483
86062;4640;998
08252;130;31
10438;240;92
08044;138;21
86066;31385;10043
08254;554;157
10443;49;14
08045;282;76
86073;594;190
08255;264;46
11016;79;35
08046;157;40
86083;1130;292
08256;92;41
11021;529;193
08057;252;51
86094;554;95
08268;69;22
11024;834;287
08062;129;39
86095;3181;708
08271;100;35
11030;122;29
08065;50;14
86102;554;106
08272;63;15
11033;1192;391
08073;102;30
86107;505;170
08275;182;36
11036;157;69
08075;141;43
86119;303;130
08278;89;28
11045;120;37
08076;955;230
86121;1399;384
08291;199;26
11058;268;116
08080;117;25
86122;69;16
08294;140;41
11066;101;52
08082;74;18
86126;634;154
08295;164;41
11073;52;23
08084;240;36
86130;419;115
08301;64;27
11075;125;59
08086;102;34
86136;392;179
08304;80;24
11080;195;64
08095;185;44
86145;1160;208
08310;77;29
11085;908;233
08116;1049;337
86153;845;232
08311;2273;682
11090;661;213
08119;417;106
86154;250;85
08327;2255;573
11091;965;368
08122;745;216
86163;3508;817
08328;5743;1431
11102;600;179
08131;62;28
86164;664;184
08338;188;44
11104;47;31
08143;79;30
86169;345;76
08340;184;33
11106;5774;1752
08151;325;70
86173;667;202
08362;7460;2150
11119;285;103
08155;102;20
86184;919;184
08363;6250;1887
11122;725;226
08162;333;91
86189;353;143
08367;2269;587
11149;77;31
08164;326;115
86191;258;98
08368;218;41
11152;131;42
08175;187;47
86198;647;110
08369;128;47
11154;52;21
08179;611;151
86202;510;167
08373;345;94
11173;138;46
08180;1678;385
86211;855;303
08379;243;62
11184;82;28
08182;58;25
86218;198;64
08380;207;49
11185;513;174
08184;82;25
86223;935;365
08381;786;202
11186;50;20
08189;150;29
86231;468;151
08382;117;44
11188;1711;643
08191;1053;248
86255;1329;495
08392;213;56
11200;133;61
08202;515;131
86257;382;84
08394;74;28
11203;10992;3234
08210;111;35
86274;1027;281
08397;43;4
11206;9460;3420
08211;738;221
86276;1187;480
08399;138;32
11208;77;29
08219;103;26
86280;365;117
08403;1914;532
11216;372;107
08220;322;66
86299;612;112
08416;149;49
11219;20;7
08223;116;33
87001;5633;1870
08418;228;54
11220;717;222
08228;207;23
87006;260;122
08422;135;44
11226;74;25
08233;49;16
87007;199;84
08424;115;45
11228;163;64
08236;279;52
87008;137;41
08430;42;9
11229;25;12
08237;682;181
87015;684;150
08434;52;11
11230;31;15
08238;97;28
87020;1726;289
08440;165;29
11235;65;30
08240;177;41
87021;2536;601
08444;126;21
11239;82;23
08244;73;21
87029;544;161
08446;87;32
11247;39;23
08257;180;50
87035;553;159
08448;1064;348
11255;1354;345
08260;642;103
87037;252;122
08452;263;66
11257;228;59
08262;580;134
87038;2105;431
08461;207;70
11280;1051;363
08263;1155;337
87040;1431;583
08462;130;39
11285;1104;408
08264;507;108
87042;398;117
08463;53;13
11304;3210;1371
08273;57;27
87049;1314;519
08469;509;123
11305;58;25
08286;104;27
87063;1295;241
08473;322;89
11306;49;19
08288;97;32
87064;1966;795
08478;235;67
11313;298;81
08318;360;88
87066;1054;294
08482;111;22
11317;125;44
08320;575;120
87067;497;228
08485;215;41
11321;85;40
08321;160;54
87070;942;197
08488;2926;711
11323;276;101
08323;161;46
87071;777;248
08496;129;33
11325;438;122
08333;233;74
87073;396;122
08498;359;114
11327;460;125
08335;82;29
87078;711;162
09012;24;5
11330;509;115
08339;303;77
87081;1103;202
09020;55;23
11336;437;168
08347;238;62
87084;147;36
09022;227;52
11339;514;175
08350;209;60
87087;527;255
09032;1113;386
11347;104;44
08357;779;208
87092;549;280
09038;379;116
11350;41;10
08364;137;27
87107;1545;415
09042;878;292
11354;28;14
08377;147;30
87112;580;206
09045;188;61
11356;1121;233
08384;144;58
87118;1263;327
09050;457;114
11358;25;11
08388;347;129
87119;1098;330
09058;198;89
11363;179;72
08391;985;230
87130;181;54
09059;118;34
11364;144;61
08396;117;46
87133;525;184
09063;100;40
11385;256;77
08405;258;74
87135;965;332
09065;212;82
11395;33;3
08407;58;9
87139;490;207
09068;39;12
11400;102;28
08445;402;73
87141;700;218
09071;224;76
11401;764;311
08453;99;41
87146;1109;383
09075;266;102
11406;32;13
08455;93;19
87151;510;118
09078;52;31
11408;494;129
08457;1076;272
87152;1638;372
09081;280;57
11410;945;271
08459;164;40
87156;2619;594
09082;447;166
11412;51;23
08464;81;24
87162;207;49
09083;26;12
11417;103;40
08484;83;30
87168;1081;444
09084;95;35
11419;63;8
08490;4081;1300
87177;1720;463
09098;71;28
11424;91;19
08494;481;135
87187;6520;2619
09100;84;36
11429;4389;1254
08499;340;80
87192;1571;435
09101;252;68
11432;286;58
08501;42;9
88019;164;40
09103;820;203
11435;142;59
08503;140;32
88025;71;27
09105;685;246
11440;39;18
09002;654;172
88031;104;22
09106;354;114
11441;2654;703
09004;122;48
88032;1224;386
09116;413;112
12003;345;131
09009;250;42
88033;347;99
09117;99;28
12006;361;131
09013;73;18
88036;90;34
09128;311;88
12011;785;314
09014;196;90
88037;868;258
09139;91;16
12015;230;78
09015;710;247
88038;33;11
09151;50;8
12016;804;286
09018;83;27
88039;325;87
09153;130;50
12022;102;49
09023;133;36
88050;300;80
09166;101;31
12025;851;305
09024;225;56
88054;309;108
09170;245;59
12028;522;191
09025;61;33
88062;106;33
09178;46;13
12029;188;76
09026;137;61
88073;210;53
09182;615;231
12033;2763;731
09035;197;76
88081;1265;489
09189;167;60
12036;639;261
09041;172;66
88084;465;111
09199;716;167
12037;578;246
09049;182;62
88088;666;184
09208;122;48
12056;3094;782
09057;314;125
88103;88;22
09212;90;29
12059;515;170
09067;219;49
88114;3182;974
09219;183;73
12064;234;89
09074;141;44
88130;247;49
09221;207;77
12065;462;200
09076;206;47
88134;539;166
09223;509;164
12069;273;97
09079;655;213
88140;380;93
09224;474;121
12079;490;182
09085;350;141
88151;1112;217
09228;223;65
12080;397;193
09086;324;119
88166;356;76
09229;479;192
12082;186;70
09090;42;15
88168;129;35
09235;877;267
12084;1597;479
09093;142;45
88171;44;17
09236;377;100
12088;225;80
09094;142;61
88172;226;55
09240;302;132
12091;445;159
09095;137;47
88173;442;122
09246;528;188
12094;931;476
09108;181;65
88176;539;212
09247;177;71
12098;473;214
09109;147;36
88190;510;130
09249;150;64
12107;302;86
09111;290;90
88197;367;66
09253;344;118
12109;105;41
09113;465;186
88199;79;15
09254;246;57
12120;2032;657
09118;174;33
88200;47;20
09255;45;19
12122;121;39
09119;555;206
88203;339;74
09261;6066;2144
12127;667;293
09123;113;42
88205;246;65
09270;231;82
12138;1573;469
09126;91;31
88208;125;49
09273;622;201
12142;634;138
09127;116;40
88209;8365;2116
09276;241;67
12155;324;138
09134;26;11
88215;75;25
09294;93;21
12158;324;104
09149;198;65
88216;764;192
09299;422;129
12163;186;60
09155;45;13
88219;159;43
09303;334;149
12169;1900;751
09159;80;23
88224;404;90
09309;156;49
12170;370;149
09161;591;193
88228;168;49
09310;51;12
12177;978;288
09167;2248;653
88252;127;32
09313;141;46
12187;398;266
09169;127;35
88256;272;104
09321;330;130
12189;363;134
09172;28;13
88262;630;193
09341;113;21
12191;332;102
09175;84;19
88263;223;65
10003;3484;1140
12192;184;59
09176;478;163
88265;30;11
10004;203;49
12194;839;221
09177;196;55
88266;875;268
10006;2726;833
12205;778;216
09192;118;38
88283;88;20
10007;107;40
12208;7706;2553
09201;72;25
88287;70;25
10015;344;43
12212;94;38
09203;159;44
88291;120;55
10018;928;261
12217;707;241
09207;1453;522
88298;72;13
10022;211;57
12219;376;161
09214;759;272
88301;301;86
10031;449;93
12226;443;207
09215;143;46
88304;4884;1314
10032;313;97
12228;305;124
09218;87;38
88312;213;62
10037;474;113
12233;284;111
09220;171;60
88316;50;6
10039;124;29
12236;154;50
