codgeo;population_totale;pop_60ansetplus
01372;421;115
81089;145;68
01385;999;239
81095;87;40
01396;960;256
81097;1321;318
01399;2016;345
81099;14719;4249
01401;2045;333
81103;125;50
01408;677;163
81108;151;58
01412;577;121
81111;74;37
01418;1069;222
81112;901;268
01426;2530;567
81114;502;158
01432;278;71
81117;742;219
01437;250;64
81126;172;37
01439;99;25
81128;1690;503
01452;1027;242
81131;2033;508
01454;1031;201
81132;886;217
01456;70;31
81134;74;30
01457;2898;834
81138;503;111
02003;1008;266
81139;1661;471
02004;179;50
81140;10198;3068
02005;391;92
81143;701;122
02012;69;13
81144;4421;1294
02015;76;21
81147;1126;280
02020;456;128
81165;236;125
02027;226;66
81168;1017;424
02034;113;21
81178;387;99
02037;1436;307
81179;285;90
02043;71;15
81201;774;281
02056;175;37
81210;259;64
02059;2694;718
81215;647;166
02060;275;77
81217;448;180
02072;190;38
81237;190;61
02074;609;128
81238;1519;562
02075;202;59
81244;2152;722
02076;167;20
81252;168;34
02080;359;79
81259;211;73
02091;112;32
81261;1027;169
02095;5489;1338
81263;400;157
02102;185;39
81283;1102;326
02106;743;163
81284;1755;462
02107;101;26
81286;567;142
02108;155;41
81287;271;55
02112;573;131
81288;2685;796
02115;211;65
81297;1176;358
02116;145;49
81308;1156;334
02118;120;31
81310;137;34
76738;738;133
02139;436;123
81326;378;93
76744;195;42
02152;89;22
82004;134;37
76750;1055;227
02154;359;70
82005;1348;227
76756;240;53
02155;178;51
82008;910;291
77002;772;178
02162;279;37
82015;132;31
77003;351;78
02177;144;43
82023;899;186
77016;1686;342
02183;190;47
82031;1184;258
77023;299;46
02186;1265;395
82032;582;156
77024;352;70
02194;201;68
82038;1368;501
77032;894;185
02204;68;30
82042;1173;408
77044;882;195
02209;660;165
82046;103;35
77049;868;217
02210;358;75
82049;1038;247
77050;563;143
02212;683;212
82065;413;145
77054;795;172
02223;299;48
82066;651;148
77055;4349;722
02224;355;66
82069;199;90
77060;733;224
02229;65;21
82077;388;135
77080;214;35
02238;1820;388
82080;1142;265
77085;3700;436
02242;644;127
82082;200;63
77107;3091;555
02257;436;126
82087;2821;804
77110;315;98
02269;154;31
82089;1102;328
77114;3945;595
02279;559;114
82091;118;38
77116;1379;349
02286;858;228
82093;608;142
77118;12155;2446
02287;1039;356
82099;507;143
77131;14606;3550
02298;1478;378
82113;1141;420
77133;219;70
02309;677;105
82114;633;114
77136;198;41
02312;1142;247
82115;1902;435
77141;1079;123
02313;480;111
82117;1341;605
77146;1968;565
02317;222;56
82122;170;66
77155;3260;672
02318;1395;334
82128;104;37
77156;850;255
02319;477;114
82136;1601;260
77161;754;208
02326;498;147
82139;123;47
77167;335;53
02330;443;133
82144;728;191
77174;597;107
02341;284;92
82150;859;239
77178;483;114
02342;135;30
82163;53;24
77182;4634;1102
02350;136;36
82164;137;63
77192;5399;1032
02354;87;25
82174;283;88
77196;917;93
02355;989;158
82180;534;185
77197;168;22
02361;4674;1345
82183;243;97
77206;162;37
02373;215;66
82185;241;85
77212;159;54
02381;8779;2391
82190;4647;1066
77215;8731;1630
02385;152;37
82191;355;122
77222;3875;546
02389;638;181
82194;1314;277
77224;170;27
02391;204;61
83003;944;282
77247;474;126
02396;64;12
83007;2113;795
77248;699;136
02400;149;32
83008;2669;862
77252;472;55
02402;38;10
83014;223;98
77264;1523;280
02410;244;45
83015;316;108
77265;1108;187
02411;211;33
83016;9546;2744
77266;785;134
02413;250;58
83018;3023;836
77267;352;92
02415;160;33
83019;7801;3241
77270;816;169
02416;436;132
83022;31;5
77272;887;125
02432;186;52
83023;16996;4100
77275;131;30
02438;268;69
83026;1914;503
77278;401;73
01001;767;183
02453;402;81
83032;3416;1233
77283;904;127
01004;13606;2975
02455;202;45
83034;9805;4177
77285;20512;3262
01011;383;95
02457;430;86
83039;149;43
77287;506;120
01013;148;39
02458;802;168
83047;17717;4765
77291;838;100
01015;640;205
02461;361;70
83060;463;179
77293;970;213
01016;462;112
02465;484;98
83061;51714;17233
77294;19780;3239
01023;61;13
02468;2201;606
83066;1738;441
77300;598;144
01032;3242;525
02470;431;119
83083;1304;381
77301;335;86
01034;8732;2233
02482;51;11
83086;9047;2811
77304;27;6
01039;464;130
02486;110;12
83090;13105;4036
77306;521;88
01042;276;70
02500;823;213
83091;5779;1484
77309;1691;275
01045;285;51
02510;152;30
83100;4174;1011
77320;5383;1086
01054;1325;238
02521;1373;276
83104;4195;1133
77327;8523;1734
01056;354;102
02522;71;18
83112;11499;4180
77328;439;148
01063;515;164
02523;75;15
83117;1679;485
77329;496;129
01068;732;157
02539;712;158
83127;2786;622
77342;107;23
01075;1293;223
02545;157;43
83128;714;269
77343;434;66
01077;193;56
02553;248;60
83140;4925;1297
77345;682;126
01080;657;168
02562;231;26
83144;23387;6927
77347;772;192
01099;1509;300
02563;169;50
83146;1600;550
77352;1895;301
01105;1606;294
02565;290;50
83149;1433;489
77359;1982;526
01111;120;28
02579;120;36
83152;717;312
77363;1367;236
01113;825;177
02595;129;25
83153;4864;1839
77364;290;23
01115;1328;233
02598;661;176
84006;72;17
77368;522;97
01134;1720;426
02599;285;84
84011;335;116
77369;676;164
01135;2126;331
02604;83;28
84019;13587;3803
77382;5413;989
01138;2971;779
02606;72;20
84027;2648;718
77383;826;150
01141;436;127
02607;76;20
84033;129;49
77384;1111;140
01148;1846;478
02616;203;53
84040;410;137
77388;828;135
01162;69;19
02625;146;40
84043;8321;2087
77390;22736;3565
01163;2025;506
02627;120;21
84047;3033;1086
77391;485;150
01167;654;181
02631;425;103
84049;534;156
77403;768;219
01180;808;189
02634;78;26
84059;121;26
77404;1813;474
01181;1223;227
02637;302;111
84060;37;13
77419;3190;801
01198;274;47
02638;234;63
84061;316;94
77423;661;139
01199;2093;463
02640;169;52
84063;399;114
77424;292;53
01203;1213;275
02648;1971;516
84066;275;86
77439;996;194
01206;272;68
02663;203;61
84068;1109;434
77445;29730;3457
01207;324;54
02672;272;50
84070;1749;390
77446;605;145
01209;719;117
02673;443;95
84080;12712;2940
77447;1802;445
01214;153;39
02677;244;65
84081;8200;2435
77453;1234;210
01232;2185;656
02702;612;184
84084;1339;390
77460;361;66
01233;131;40
02710;774;173
84088;9277;2969
77464;9606;1916
01237;1627;329
02720;1856;453
84100;51;18
77470;8321;1291
01242;126;26
02725;141;23
84105;982;373
77473;434;127
01246;2134;557
02729;105;25
84120;123;50
77483;1892;390
01247;340;71
02743;175;45
84122;5907;1509
77485;749;217
01249;9291;1913
02748;937;271
84133;4080;1140
77489;130;34
01252;774;171
02758;1978;649
84138;9249;3021
77490;747;132
01264;1052;202
02760;154;41
84142;2955;917
77496;189;35
01265;3409;749
02762;157;36
84144;629;248
77498;310;36
01268;255;73
02770;788;292
85001;2027;1207
77509;610;103
01274;628;136
02775;907;288
85011;1722;747
77512;1138;296
01276;1559;268
02787;249;71
85012;2171;873
01006;110;38
77517;1775;303
01279;94;36
02797;183;41
85019;5869;1155
01007;2679;558
77523;271;81
01282;261;67
02809;77;23
85025;2225;437
01024;3269;696
77524;519;97
01284;666;124
02820;1679;445
85028;584;109
01028;596;130
77530;317;107
01294;798;211
02827;318;67
85029;1988;780
01037;273;76
77533;2603;661
01299;519;97
02831;377;98
85037;650;169
01038;762;199
78015;12819;2825
01309;90;26
03001;2905;800
85046;3661;621
01050;332;64
78020;931;181
01310;130;29
03003;965;406
85049;1701;483
01069;1532;327
78029;11459;2179
01321;921;192
03009;118;24
85050;1764;578
01079;694;180
78048;1443;265
01322;4442;943
03020;290;91
85058;725;160
01083;898;165
78050;604;135
01329;153;60
03035;214;68
85073;1048;218
01098;1079;286
78076;258;64
01334;602;115
03039;378;103
85076;3203;693
01100;136;50
78104;694;172
01349;453;126
03042;534;182
85083;1618;730
01103;1643;215
78118;3152;572
01354;11683;1629
03045;940;224
85089;5129;1091
01104;460;105
78120;1787;448
01356;219;49
03046;1038;422
85100;2029;731
01112;414;59
78126;20886;4817
01364;737;224
03052;1097;274
85106;1359;556
01116;500;160
78138;10260;1562
01365;1122;287
03069;316;92
85111;1534;471
01117;146;29
78140;1259;288
01366;999;141
03074;667;251
85114;2574;1713
01121;113;19
78143;1380;284
01368;798;162
03080;702;197
85123;276;67
01128;310;75
78171;1188;233
01371;1303;181
03081;326;132
85125;383;93
01133;393;97
78193;1043;277
01374;1790;447
03084;1970;797
85126;1318;343
01142;4706;852
78208;25151;4422
01376;3917;875
03094;3274;1006
85131;1618;407
01143;9336;1836
78234;155;26
01392;657;134
03097;362;105
85139;456;183
01146;431;79
78239;1988;426
01403;1262;306
03104;1193;386
85146;19745;3855
01147;483;131
78263;2447;582
01416;980;258
03108;330;126
85154;1745;414
01153;2172;332
78296;609;121
01421;725;169
03111;1107;371
85160;2839;629
01155;145;37
78299;2167;518
01422;1366;345
03112;614;190
85161;2363;561
01159;3224;826
78302;178;45
01423;1002;150
03119;406;148
85185;624;168
01165;1574;270
78307;959;259
01425;289;77
03121;671;153
85188;1086;280
01169;600;108
78343;1515;348
01428;131;26
03126;1165;370
85196;1801;316
01183;1435;330
78361;42786;7792
01436;490;105
03136;218;50
85202;1570;302
01188;615;140
78362;19629;3775
01443;4412;1133
03151;170;64
85216;1934;442
01202;7009;1720
78381;951;199
01447;1184;295
03155;1821;696
85227;1868;491
01204;712;151
78391;419;87
01448;365;79
03158;801;212
85235;404;118
01210;225;58
78398;822;269
02002;602;149
03162;201;58
85243;2596;1187
01213;1285;211
78465;2324;669
02009;546;139
03173;1159;377
85246;2269;531
01227;640;147
78466;6132;1311
02013;413;84
03179;306;119
85282;884;217
01229;1187;294
78499;622;104
02021;89;23
03184;516;148
85286;579;155
01234;173;52
78505;425;83
02023;105;24
03185;34026;11712
85295;3107;587
01243;1210;268
78518;112;25
02024;53;17
03189;706;228
85304;704;186
01248;2132;366
78522;895;217
02031;654;181
03190;18772;5620
86008;363;125
01250;1805;373
78545;17697;2747
02032;249;50
03201;327;89
86012;161;67
01257;341;77
78550;1867;408
02033;106;32
03203;387;147
86015;1281;554
01281;4329;632
78551;42978;9650
02039;151;31
03206;182;65
86023;305;83
01286;937;239
78558;345;62
02042;390;111
03218;263;91
86027;1617;392
01313;7991;1109
78561;449;96
02046;550;135
03219;210;73
86029;790;277
01317;321;66
78564;646;119
02047;117;30
03227;385;87
86032;2119;497
01333;3173;779
78565;309;86
02048;130;28
03228;45;26
86047;471;121
01335;384;70
78576;1544;414
02057;1354;322
03230;521;124
86050;803;198
01338;1193;323
78606;35;12
02078;157;29
03232;324;81
86065;1010;220
01355;472;101
78615;695;154
02083;739;160
03237;424;140
86070;6769;2169
01357;507;104
78650;15798;3922
02094;436;105
03240;575;235
86072;477;85
01360;1681;277
78683;2785;689
02099;243;34
03243;126;46
86075;748;216
01361;1427;311
78686;15910;3613
02100;137;20
03244;144;64
86082;4366;1288
01369;868;243
79010;596;200
02109;491;137
03245;123;30
86084;239;145
01370;1629;342
79013;3012;848
02110;2115;532
03252;644;130
86087;186;70
01381;914;159
79020;923;235
02119;341;71
03257;789;242
86088;812;186
01382;284;64
79023;68;25
02124;654;202
03262;2069;655
86104;519;209
01386;1122;246
79047;456;126
02138;189;50
03271;827;252
86113;2884;733
01391;279;115
79057;1377;479
02140;454;116
03277;257;66
86125;580;153
01397;1025;231
79059;733;230
02143;194;49
03280;207;71
86134;223;59
01402;678;201
79069;1009;246
02144;146;26
03281;410;148
86139;2424;777
01404;131;45
79071;483;130
02145;552;132
03285;175;51
86140;2249;813
01410;318;56
79078;976;236
02150;65;16
03286;1139;367
86141;676;155
01415;415;114
79085;157;60
02156;250;55
03291;396;128
86147;604;121
01419;6094;964
79089;170;62
02165;1639;501
03293;266;112
86150;297;87
01431;1228;300
79092;357;90
02166;350;84
03300;538;182
86160;2088;557
01434;421;95
79108;226;81
02171;86;18
03301;1096;258
86170;377;122
01450;3564;702
79112;856;182
02176;204;33
03303;241;67
86172;125;36
02001;495;109
79116;953;274
02178;108;21
03314;1319;344
86174;5765;1678
02007;123;31
79127;831;200
02189;368;80
03316;1044;241
86182;407;113
02010;175;28
79133;1171;256
02193;68;23
03317;303;131
86183;1643;409
02022;403;103
79135;965;276
02199;652;134
03321;12504;3969
86190;770;275
02025;369;90
79145;351;77
02207;210;50
04001;1251;354
86194;83732;16742
02029;368;80
79150;781;299
02211;279;74
04006;747;225
86201;218;78
02030;277;91
79157;1350;290
02225;90;23
04013;586;146
86206;127;34
02036;87;17
79166;873;193
02228;304;66
04016;57;20
86210;755;151
02038;58;27
79172;1003;290
02230;186;38
04023;162;75
86224;1257;355
02040;179;41
79183;378;74
02233;138;29
04032;123;67
86236;807;304
02044;26;11
79189;1717;434
02234;80;19
04033;682;188
86239;167;54
02052;143;36
79191;57163;15015
02236;354;64
04042;134;69
86241;394;117
02066;208;49
79197;98;39
02248;158;40
04045;1192;434
86245;1798;508
02067;213;55
79204;994;272
02251;28;8
04047;700;184
86249;130;42
02069;115;32
79208;1080;320
02252;70;15
04053;503;162
86252;643;174
02070;446;99
79235;1398;347
02256;128;40
04057;174;52
86254;1016;364
02073;593;134
79241;551;117
02260;629;159
04081;406;195
86271;809;194
02081;433;82
79244;355;87
02263;115;21
04087;129;42
86286;395;130
02082;110;21
79246;618;144
02266;50;16
04088;4641;1577
86289;647;247
02085;1063;141
79251;768;196
02270;160;30
04091;79;23
86297;5674;1379
02088;84;20
79273;780;209
02273;222;51
04092;75;31
87009;149;66
02093;1270;345
79280;871;238
02274;204;42
04097;397;111
87014;2773;826
02098;377;93
79290;942;218
02290;2760;646
04108;1914;472
87027;1335;613
02103;1316;372
79293;1086;228
02303;664;214
04110;1052;266
87028;1692;820
02105;203;37
79294;179;38
02304;2651;500
04115;112;47
87032;1489;631
02117;68;14
79295;717;190
02308;488;118
04132;136;60
87039;797;266
02120;196;45
79297;358;149
02310;263;76
04134;558;197
87048;5103;1361
02127;185;49
79301;658;175
02311;130;26
04140;131;55
87053;250;98
02133;416;100
79302;1451;360
02316;139;43
04143;5717;1849
87057;377;163
02135;1087;268
79307;1635;676
02329;420;104
04144;344;107
87058;122;57
02136;129;33
79309;363;131
02331;116;36
04149;2820;742
87072;511;119
02141;1681;519
79320;663;124
02332;268;64
04167;306;100
87076;243;65
02148;259;61
79322;1944;634
02338;266;48
04175;86;33
87088;1094;363
02158;289;45
79326;1339;431
02351;120;29
04182;204;105
87089;1447;574
02164;318;89
79331;116;33
02353;308;70
04184;138;64
87097;1083;487
02170;127;33
79339;1607;549
02369;244;69
04201;115;56
87099;377;85
02173;11589;3057
79343;222;57
02371;1606;562
04206;425;122
87103;1513;485
02175;142;34
79346;128;51
02376;162;38
04216;233;60
87108;469;203
02179;390;87
80001;22594;6245
02379;213;66
04240;252;95
87111;1513;639
02181;83;25
80027;31;3
02386;245;65
04241;185;49
87120;522;189
02184;297;54
80031;785;170
02395;150;35
04242;4082;945
87126;3634;1371
02188;150;56
80038;143;25
02397;1246;281
05013;143;50
87127;619;208
02192;370;51
80039;1498;604
02405;558;158
05017;2506;524
87129;889;256
02196;317;97
80045;167;45
02406;140;31
05018;350;86
87131;838;339
02200;127;20
80046;58;19
02408;23858;5866
05037;488;159
87137;114;50
02201;343;64
80048;64;14
02412;98;20
05049;45;17
87140;1651;430
02213;328;78
80053;77;18
02414;203;51
05051;31;16
87142;521;137
02215;730;149
80067;192;35
02420;832;271
05059;808;161
87144;521;117
02221;154;21
80073;161;30
02431;400;146
05061;39616;11286
87149;374;146
02222;30;9
80080;152;45
02435;74;24
05071;329;91
87153;286;129
02237;1399;318
80083;151;40
02440;145;43
05078;288;69
87169;1045;176
02239;1187;241
80086;1083;273
02471;119;25
05084;459;136
87182;1229;527
02245;1796;397
80087;231;76
02485;99;21
05086;104;45
87183;927;229
02254;127;18
80094;437;103
02488;153;48
05087;517;161
87194;350;137
02255;138;24
80099;224;64
02489;331;61
05089;67;15
87195;138;58
02258;387;90
80102;380;127
02490;131;34
05090;219;65
87202;2042;426
02259;400;100
80110;479;188
02491;316;70
05091;44;16
88004;151;61
02267;287;50
80112;235;69
02493;216;60
05093;357;87
88007;50;20
02280;384;87
