id_zone;INSEE;LIBGEO;DEP;REG;EPCI;TYPPRED;loypredm2;lwrIPm2;uprIPm2;R2adj;Nbobs_maille;NBobs_commune
1169;66048;Cerb�re;66;76;200043602;maille;9,381427148;6,354440907;13,8503413;0,643542235;520;6
815;66049;C�ret;66;76;246600373;commune;8,820945633;6,579218443;11,82649315;0,704952639;527;144
1600;66050;Claira;66;76;200070365;commune;8,647117213;6,330010388;11,81240338;0,711172738;1481;142
1019;66051;Clara;66;76;200049211;epci;7,34904255;5,455484146;9,899841142;0,60546511;764;9
1019;66052;Codalet;66;76;200049211;epci;7,34904255;5,455484146;9,899841142;0,60546511;764;2
1169;66053;Collioure;66;76;200043602;maille;9,381427148;6,354440907;13,8503413;0,643542235;520;22
1182;66054;Conat;66;76;200049211;maille;6,297793655;4,386169546;9,042560829;0,50396946;483;1
830;66055;Corb�re;66;76;246600415;maille;7,729856499;5,72382991;10,4389338;0,649498995;1086;35
830;66056;Corb�re-les-Cabanes;66;76;246600415;maille;7,729856499;5,72382991;10,4389338;0,649498995;1086;37
1019;66057;Corneilla-de-Conflent;66;76;200049211;epci;7,34904255;5,455484146;9,899841142;0,60546511;764;13
830;66058;Corneilla-la-Rivi�re;66;76;246600415;maille;7,729856499;5,72382991;10,4389338;0,649498995;1086;90
1337;66059;Corneilla-del-Vercol;66;76;246600282;maille;9,496400382;7,056908038;12,77919731;0,729026595;646;58
1084;66060;Corsavy;66;76;246600548;maille;7,900938654;5,902166739;10,57659574;0,767608013;527;0
1019;66061;Coustouges;66;76;246600548;maille;6,722743059;4,989588098;9,057916875;0,60546511;764;3
343;66062;Dorres;66;76;246600399;epci;7,074303916;4,815297787;10,39308016;0,576507161;772;3
893;66063;Les Cluses;66;76;246600373;maille;9,18319716;6,861904666;12,28975251;0,720790417;662;10
343;66064;�gat;66;76;246600399;epci;7,074303916;4,815297787;10,39308016;0,576507161;772;9
1541;66065;Elne;66;76;200043602;commune;8,809367525;6,630778507;11,70374732;0,773514358;829;297
343;66066;Enveitg;66;76;246600399;epci;7,074303916;4,815297787;10,39308016;0,576507161;772;13
343;66067;Err;66;76;246600399;epci;7,074303916;4,815297787;10,39308016;0,576507161;772;22
1019;66068;Escaro;66;76;200049211;epci;7,34904255;5,455484146;9,899841142;0,60546511;764;9
