Code_etablissement;Appellation_officielle;Denomination_principale;Patronyme_uai;Secteur_Public_Prive;Adresse;Lieu_dit;Boite_postale;Code_postal;Localite_acheminement;Commune;Coordonnee_X;Coordonnee_Y;EPSG;Latitude;Longitude;Qualite_appariement;Localisation;Code_nature;Nature;Code_etat_etablissement;Etat_etablissement;Code_departement;Code_region;Code_academie;Code_commune;Departement;Region;Academie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
9830044F;Ecole primaire de Kouaoua;ECOLE PRIMAIRE;DE KOUAOUA;Public;Village KOUAOUA;;83;98818;KOUAOUA;Kouaoua;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98833;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-07-31
9830492T;GOD de Kouaoua;COLLEGE;ANNEXE DE KOUAOUA;Public;;KOUAOUA;;98818;KOUAOUA;Kouaoua;;;;;;;;340;COLLEGE;1;OUVERT;988;00;40;98833;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1993-03-01
9830251F;Ecole primaire privée Sainte Thérèse de Touaourou - Enseignement catholique;ECOLE PRIMAIRE PRIVEE;STE THERESE TOUAOUROU (DDEC);Privé;ROUTE DE TOUAOUROU;TOUAOUROU;;98834;YATE;Yaté;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98832;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-18
9830477B;Collège de Yaté;COLLEGE;DE YATE;Public;;;10;98834;YATE;Yaté;;;;;;;;340;COLLEGE;1;OUVERT;988;00;40;98832;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1992-09-01
9830252G;Ecole primaire privée Sacré-Coeur d'Unia - Enseignement catholique;ECOLE PRIMAIRE PRIVEE;SACRE-COEUR UNIA (DDEC);Privé;ROUTE DE UNIA;UNIA;19;98834;YATE;Yaté;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98832;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-18
9830042D;ECOLE PRIMAIRE GS LE BANIAN (YATE);ECOLE PRIMAIRE;GS LE BANIAN (YATE);Public;39 LOTISSEMENT MUNICIPAL;WAHO;15;98834;YATE;Yaté;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98832;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-07-31
9830438J;Ecole primaire privée de Oundjo - Enseignement libre protestant;ECOLE PRIMAIRE PRIVEE;DE OUNDJO (FELP);Privé;ROUTE DE OUNDJO;OUNDJO;;98833;VOH;Voh;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98831;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1986-03-01
9830204E;Ecole primaire privée de Tiéta - Enseignement libre protestant;ECOLE PRIMAIRE PRIVEE;DE TIETA  (FELP);Privé;ROUTE DE TIETA;TRIBU DE TIETA;;98833;VOH;Voh;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98831;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-21
9830106Y;Ecole primaire de Voh;ECOLE PRIMAIRE PUBLIQUE;DE VOH;Public;Village DE VOH;;203;98833;VOH;Voh;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98831;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-07-31
9830550F;Ecole maternelle de Boyen;ECOLE MATERNELLE PUBLIQUE;DE BOYEN;Public;Route BOYEN;;203;98833;VOH;Voh;;;;;;;;101;ECOLE MATERNELLE;1;OUVERT;988;00;40;98831;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1998-02-25
9830669K;A COMPLETER;ECOLE MATERNELLE PUBLIQUE;VOH;Public;00 village DE VOH;;203;98833;VOH;Voh;;;;;;;;101;ECOLE MATERNELLE;1;OUVERT;988;00;40;98831;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2009-02-19
9830432C;Collège de Tiéta - (FELP);COLLEGE PRIVE;DE TIETA  (FELP);Privé;ROUTE DE TIETA;TIETA;;98833;VOH;Voh;;;;;;;;340;COLLEGE;1;OUVERT;988;00;40;98831;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1986-03-01
9830198Y;Ecole primaire privée de Koé - Enseignement libre protestant;ECOLE PRIMAIRE PRIVEE;DE KOE (FELP);Privé;ROUTE DE KOE;TRIBU DE KOE;;98831;TOUHO;Touho;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98830;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-21
9830199Z;Ecole primaire privée de Tiwae - Enseignement libre protestant;ECOLE PRIMAIRE PRIVEE;DE TIWAE (FELP);Privé;LIEU-DIT TRIBU DE TIWAE;;;98831;TOUHO;Touho;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98830;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-21
9830250E;Ecole primaire privée CSC de Touho - Enseignement catholique;ECOLE PRIMAIRE PRIVEE;CSC DE TOUHO (DDEC);Privé;ROUTE DE TOUHO;;15;98831;TOUHO;Touho;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98830;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-18
9830105X;Ecole primaire de Touho;ECOLE PRIMAIRE;DE TOUHO;Public;00 VILLAGE DE TOUHO;;11;98831;TOUHO;Touho;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98830;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-07-31
9830460H;Lycée professionnel Augustin Ty;LYCEE PROFESSIONNEL;AUGUSTIN TY;Public;ROUTE RPN 10;;;98831;TOUHO;Touho;;;;;;;;320;LYCEE PROFESSIONNEL;1;OUVERT;988;00;40;98830;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1989-09-01
9830355U;Collège La Colline (de Thio);COLLEGE;LA COLLINE (DE THIO);Public;;;28;98829;THIO;Thio;;;;;;;;340;COLLEGE;1;OUVERT;988;00;40;98829;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1978-03-16
9830298G;Collège Francis Rougé - (DDEC);COLLEGE PRIVE;FRANCIS ROUGE  (DDEC);Privé;;THIO MISSION;;98829;THIO;Thio;;;;;;;;340;COLLEGE;1;OUVERT;988;00;40;98829;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1974-07-23
9830249D;Ecole primaire privée Saint François - Enseignement catholique;ECOLE PRIMAIRE PRIVEE;SAINT FRANCOIS THIO (DDEC);Privé;ROUTE DE THIO MISSION;THIO MISSION;;98829;THIO;Thio;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98829;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-18
9830038Z;GROUPE SCOLAIRE DE THIO;ECOLE PRIMAIRE;GROUPE SCOLAIRE DE THIO;Public;LIEU-DIT VILLAGE DE THIO;;32;98829;THIO;Thio;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98829;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-07-31
9830315A;Ecole primaire de Sarraméa;ECOLE PRIMAIRE;KAWA CYPRIEN BRAINO (SARRAMEA);Public;ROUTE;;;98882;SARRAMEA;Sarraméa;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98828;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1976-08-06
9830246A;Ecole primaire privée de Neckliaï - Enseignement catholique;ECOLE PRIMAIRE PRIVEE;DE NECKLAI POYA (DDEC);Privé;LIEU-DIT NEKLIAI;NEKLIAI;83;98827;POYA;Poya;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98827;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-18
9830475Z;Ecole primaire de Montfaoué;ECOLE PRIMAIRE;DE MONTFAOUE (POYA);Public;;MONTFAOUE;269;98827;POYA;Poya;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98827;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1992-09-01
9830493U;Collège Essau Voudjo de Poya;COLLEGE;ESSAU VOUDJO (POYA);Public;322 LOTISSEMENT SECTION DE LOT 19;POYA PATURAGE;;98827;POYA;Poya;;;;;;;;340;COLLEGE;1;OUVERT;988;00;40;98827;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1982-01-01
9830622J;A COMPLETER;ECOLE PRIMAIRE;DE GOHAPIN;Public;269 route DE GOHAPIN;GOHAPIN;;98827;POYA;Poya;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98827;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2002-02-21
9830104W;Ecole primaire Marcel Carlier;ECOLE PRIMAIRE;MARCEL CARLIER (POYA);Public;;POYA VILLAGE;269;98827;POYA;Poya;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98827;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-07-31
9830115H;Ecole primaire Antoine Griscelli;ECOLE PRIMAIRE;ANTOINE GRISCELLI (NEPOUI);Public;VILLAGE NEPOUI;;1;98877;NEPOUI;Poya;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98827;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-18
9830518W;Collège Kaleba Boaouva - (ASÉÉ);COLLEGE PRIVE;BOAOUVA KALEBA (ASÉÉ);Privé;VILLAGE;;6;98826;POUM;Poum;;;;;;;;340;COLLEGE;1;OUVERT;988;00;40;98826;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1994-03-01
9830215S;Ecole primaire privée Saint Joseph - Arama - Enseignement catholique;ECOLE PRIMAIRE PRIVEE;ST-JOSEPH ARAMA (DDEC);Privé;ROUTE DE ARAMA;ARAMA;;98826;POUM;Poum;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98826;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-17
9830098P;Ecole primaire de Poum;ECOLE PRIMAIRE;DE POUM;Public;LIEU-DIT POUM;;;98826;POUM;Poum;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98826;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-07-31
9830086B;Ecole primaire Cavet-Juu de Tiabet;ECOLE PRIMAIRE;CAVET-JUU DE TIABET;Public;LIEU-DIT TRIBU DE TIABET;TIABET;;98826;POUM;Poum;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98826;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-08-01
9830085A;E.E.PU  Léon Mousse;ECOLE ELEMENTAIRE PUBLIQUE;LEON MOUSSE(PAOUTA);Public;LIEU-DIT TRIBU DE PAOUTA;PAOUTA;;98825;POUEMBOUT;Pouembout;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98825;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-08-01
9830484J;Lycée d'enseignement général et technologique agricole de Pouembout;LEGT AGRICOLE;DE POUEMBOUT;Public;Route MUNIPALE 2;VILLAGE;;98825;POUEMBOUT;Pouembout;;;;;;;;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;988;00;40;98825;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;03;AGRICULTURE;1992-09-01
9830320F;E.M.PU DE OUATE;ECOLE MATERNELLE PUBLIQUE;DE OUATE (POUEMBOUT);Public;ROUTE OUATE;OUATE;;98825;POUEMBOUT;Pouembout;;;;;;;;101;ECOLE MATERNELLE;1;OUVERT;988;00;40;98825;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1977-09-21
9830717M;ECOLE MATERNELLE PUBLIQUE LES LILAS;ECOLE MATERNELLE PUBLIQUE;LES LILAS;Public;Village;;;98825;POUEMBOUT;Pouembout;;;;;;;;101;ECOLE MATERNELLE;3;A OUVRIR;988;00;40;98825;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2020-08-24
9830103V;Ecole élémentaire GS Léonie AVRIL;ECOLE PRIMAIRE;GROUPE SCOLAIRE LÉONIE AVRIL;Public;VILLAGE DE POUEMBOUT;;;98825;POUEMBOUT;Pouembout;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98825;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-07-31
9830635Y;Lycée polyvalent Michel Rocard;LYCEE POLYVALENT;MICHEL ROCARD;Public;00 route MUNICIPALE 2 TAMAON;VILLAGE;5;98825;POUEMBOUT;Pouembout;;;;;;;;306;LYCEE POLYVALENT;1;OUVERT;988;00;40;98825;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2004-09-20
9830244Y;Ecole primaire privée CSC de Pouébo - Enseignement catholique;ECOLE PRIMAIRE PRIVEE;C.S.C. DE POUEBO (DDEC);Privé;ROUTE DE POUEBO;;7;98824;POUEBO;Pouebo;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98824;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-18
9830163K;Ecole primaire privée de Yambé - Eglise évangélique;ECOLE PRIMAIRE PRIVEE;DE YAMBE (ASEE);Privé;ROUTE YAMBE;TRIBU DE YAMBE;;98824;POUEBO;Pouebo;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98824;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;20;CONTRAT SIMPLE TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-18
9830243X;Ecole maternelle privée de Diahoué - Enseignement catholique;ECOLE MATERNELLE PRIVEE;DE DIAHOUE (DDEC);Privé;;;7;98824;POUEBO;Pouebo;;;;;;;;101;ECOLE MATERNELLE;1;OUVERT;988;00;40;98824;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-18
9830545A;Ecole maternelle privée de Balade - Enseignement catholique;ECOLE MATERNELLE PRIVEE;DE BALADE (DDEC);Privé;;BALADE;;98824;POUEBO;Pouebo;;;;;;;;101;ECOLE MATERNELLE;1;OUVERT;988;00;40;98824;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1998-03-01
9830297F;Collège Hyppolyte Bonou - (DDEC);COLLEGE PRIVE;HYPPOLYTE BONOU (DDEC);Privé;VILLAGE;;2;98824;POUEBO;Pouebo;;;;;;;;340;COLLEGE;1;OUVERT;988;00;40;98824;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1974-07-23
9830529H;Maison Familiale Rurale de Pouebo;MAISON FAMILIALE RURALE;DE POUEBO;Privé;;POUEBO;22;98824;POUEBO;Pouebo;;;;;;;;380;MAISON FAMILIALE RURALE EDUCATION ORIENT;1;OUVERT;988;00;40;98824;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;03;AGRICULTURE;1996-10-10
9830273E;Lycée professionnel Gabriel Rivat - (DDEC);LYCEE PROFESSIONNEL PRIVE;GABRIEL RIVAT (DDEC);Privé;VILLAGE;;72;98824;POUEBO;Pouebo;;;;;;;;320;LYCEE PROFESSIONNEL;1;OUVERT;988;00;40;98824;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-09-01
9830118L;Ecole primaire de Pouébo;ECOLE PRIMAIRE;DE POUEBO;Public;VILLAGE DE POUEBO;;53;98824;POUEBO;Pouebo;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98824;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-18
9830424U;Ecole maternelle de Ponérihouen;ECOLE MATERNELLE PUBLIQUE;DE PONERIHOUEN;Public;LIEU-DIT VILLAGE DE PONERIHOUEN;;86;98823;PONERIHOUEN;Ponerihouen;;;;;;;;101;ECOLE MATERNELLE;1;OUVERT;988;00;40;98823;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1984-03-01
9830197X;Ecole primaire privée de Tchamba - Enseignement libre protestant;ECOLE PRIMAIRE PRIVEE;DE TCHAMBA (FELP);Privé;ROUTE DE TCHAMBA;TRIBU DE TCHAMBA;;98823;PONERIHOUEN;Ponerihouen;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98823;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-21
9830195V;Ecole primaire privée de Goyetta - Enseignement libre protestant;ECOLE PRIMAIRE PRIVEE;DE GOYETTA  (FELP);Privé;ROUTE DE GOYETA;TRIBU DE GOYETA;;98823;PONERIHOUEN;Ponerihouen;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98823;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-21
9830313Y;Collège Yves-Marie Hily - (DDEC);COLLEGE PRIVE;YVES MARIE  HILY  (DDEC);Privé;LIEU-DIT TEOUTY;;3;98823;PONERIHOUEN;Ponerihouen;;;;;;;;340;COLLEGE;1;OUVERT;988;00;40;98823;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1976-08-06
9830102U;Ecole primaire de Ponérihouen;ECOLE PRIMAIRE PUBLIQUE;DE PONERIHOUEN;Public;00 VILLAGE DE PONERIHOUEN;;02;98823;PONERIHOUEN;Ponerihouen;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98823;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-07-31
9830242W;Ecole primaire privée Sainte Jeanne d'Arc - Enseignement catholique;ECOLE PRIMAIRE PRIVEE;STE JEANNE D'ARC TEOUTY (DDEC);Privé;;;3;98823;PONERIHOUEN;Ponerihouen;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98823;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-18
9830084Z;Ecole primaire de Monéo;ECOLE PRIMAIRE;DE MONEO;Public;Lieu-dit TRIBU DE MONEO;;;98823;PONERIHOUEN;Ponerihouen;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98823;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-08-01
9830472W;Collège de Mou - (FELP);COLLEGE PRIVE;DE MOU (FELP);Privé;ROUTE PROVINCIALE 3;MOU;;98823;PONERIHOUEN;Ponerihouen;;;;;;;;340;COLLEGE;1;OUVERT;988;00;40;98823;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1991-09-01
9830459G;Ecole primaire privée de Mou - Enseignement libre protestant;ECOLE PRIMAIRE PRIVEE;DE MOU (FELP);Privé;ROUTE DE MOU;TRIBU DE MOU;;98823;PONERIHOUEN;Ponerihouen;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98823;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1988-10-07
9830512P;Lycée professionnel ALP de Poindimié;LYCEE PROFESSIONNEL;DE POINDIMIE (ALP);Public;30 BIS ROUTE PROVINCIALE 3;;2;98822;POINDIMIE;Poindimie;;;;;;;;320;LYCEE PROFESSIONNEL;1;OUVERT;988;00;40;98822;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1994-09-06
9830101T;Ecole élémentaire de Poindimié;ECOLE ELEMENTAIRE PUBLIQUE;DE POINDIMIE;Public;LIEU-DIT POINDIMIE;;36;98822;POINDIMIE;Poindimie;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98822;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-07-31
9830498Z;Section d'enseignement général et professionnel adapté de Poindimié;SEGPA;DE POINDIMIE;Public;30 BIS ROUTE PROVINCIALE 3;;2;98822;POINDIMIE;Poindimie;;;;;;;;390;SECTION ENSEIGNT GEN. ET PROF. ADAPTE;1;OUVERT;988;00;40;98822;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1995-03-01
9830495W;Ecole primaire de Tiéti;ECOLE PRIMAIRE;DE TIETI;Public;ROUTE TIETI;TIETI;38;98822;POINDIMIE;Poindimie;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98822;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1993-10-21
9830240U;Ecole primaire privée Notre-Dame du Rivage - Enseignement catholique;ECOLE PRIMAIRE PRIVEE;NOTRE-DAME DU RIVAGE (DDEC);Privé;ROUTE DE TYE;TYE;;98822;POINDIMIE;Poindimie;;;;;;;;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;988;00;40;98822;Nouvelle Calédonie;TOM et Collectivités territoriales;Nouvelle Calédonie;;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-08-18
